,Planet$_b$,Period$_b$,"T$_0,$$_b$",$\sqrt{e}\cos \omega$$_b$,$\sqrt{e}\sin \omega$$_b$,i$_b$,$\Omega$$_b$,"M$_{jup,}$$_b$",R$_p$/R$_s$$_b$,Planet$_c$,Period$_c$,"T$_0,$$_c$",$\sqrt{e}\cos \omega$$_c$,$\sqrt{e}\sin \omega$$_c$,i$_c$,$\Omega$$_c$,"M$_{jup,}$$_c$",R$_p$/R$_s$$_c$,Planet$_d$,Period$_d$,"T$_0,$$_d$",$\sqrt{e}\cos \omega$$_d$,$\sqrt{e}\sin \omega$$_d$,i$_d$,$\Omega$$_d$,"M$_{jup,}$$_d$",R$_p$/R$_s$$_d$,M$_s$,R$_s$,c$_1$,c$_2$,dilute,chisq,Chain#
0,0.1,2.507920929280443,2021.0706779895168,0.0,0.0,89.91985633864661,0.0,6.029400423e-06,0.012114499820504,0.2,7.922373740920084,2027.90278881372,-0.115298517535514,-0.355690751492075,88.40848111686296,0.0,0.100244625434306,0.077398986160835,0.3,11.897966839698087,2020.0010126477407,-0.060095696038012,-0.394792228084459,88.82270146575675,0.0,0.035272361949077,0.045861841814661,0.898957845915297,0.883068666827574,0.302265727914675,0.363046771844335,0.0,6528.16163489211,0
1,0.1,2.507920929280443,2021.0706779895168,0.0,0.0,89.91985633864661,0.0,6.029400423e-06,0.012114499820504,0.2,7.922373740920084,2027.90278881372,-0.115298517535514,-0.355690751492075,88.40848111686296,0.0,0.100244625434306,0.077398986160835,0.3,11.897966839698087,2020.0010126477407,-0.060095696038012,-0.394792228084459,88.82270146575675,0.0,0.035272361949077,0.045861841814661,0.898957845915297,0.883068666827574,0.302265727914675,0.363046771844335,0.0,6528.16163489211,0
2,0.1,2.507920929280443,2021.0706779895168,0.0,0.0,89.91985633864661,0.0,6.029400423e-06,0.012114499820504,0.2,7.922373740920084,2027.90278881372,-0.115298517535514,-0.355690751492075,88.40848111686296,0.0,0.100244625434306,0.077398986160835,0.3,11.897966839698087,2020.0010126477407,-0.060095696038012,-0.394792228084459,88.82270146575675,0.0,0.035272361949077,0.045861841814661,0.898957845915297,0.883068666827574,0.302265727914675,0.363046771844335,0.0,6528.16163489211,0
3,0.1,2.508295095000182,2021.0709536861348,0.0,0.0,89.94836344967736,0.0,0.019030679553852,0.011283891310205,0.2,7.922436264663235,2027.9029799840123,-0.112612702479905,-0.341241923190509,88.41608909680095,0.0,0.101877305446933,0.076688120159438,0.3,11.897562590014054,2020.0004672223288,-0.061231997429356,-0.391289876231362,88.80686786826912,0.0,0.036560915133376,0.045553650263646,0.900335790190084,0.871371392413267,0.331315002715305,0.343211492644972,0.0,3511.34327156597,0
4,0.1,2.508669559456679,2021.070077441886,0.0,0.0,89.97172784246828,0.0,0.007432275777487,0.01146803098929,0.2,7.922341434712606,2027.9027009438917,-0.124416430399787,-0.338137797279986,88.43708258280739,0.0,0.103137702655984,0.077075604470945,0.3,11.897433335250511,2020.0016849064648,-0.067886335280247,-0.3888682100846,88.84561446924153,0.0,0.034969932792573,0.046028316417892,0.901659923336553,0.862001050340426,0.355018601443045,0.286148219679193,0.0,3502.79911182087,0
5,0.1,2.508144679258907,2021.070858137524,0.0,0.0,89.33500697440597,0.0,0.024954125280497,0.011710427979767,0.2,7.922434396241105,2027.9028404660764,-0.109920451264295,-0.329943851814585,88.47657168918211,0.0,0.102414601112451,0.076426658938558,0.3,11.897462244652298,2020.0016173896347,-0.057507371235616,-0.382669525362945,88.84449709013836,0.0,0.035431133962488,0.045248530837379,0.901074561176405,0.865225843097019,0.326178249371413,0.392723154435824,0.0,3490.84919567217,0
6,0.1,2.508087608831513,2021.071729258348,0.0,0.0,89.42543541951714,0.0,0.010788970955081,0.012022939888942,0.2,7.922372850162709,2027.9030800322912,-0.150327167129873,-0.312437026034344,88.54513237471082,0.0,0.102595164327679,0.07576296859647,0.3,11.897299188098245,2020.0018099608303,-0.086462962998637,-0.373391524396858,88.91757846185305,0.0,0.034962647709312,0.044822699139258,0.899221514635768,0.857930966742824,0.32374679992903,0.435206871563502,0.0,3477.62748680403,0
7,0.1,2.508359666957283,2021.07462942124,0.0,0.0,89.06442866878442,0.0,0.006746537344576,0.012404237979325,0.2,7.922627142997067,2027.9032681785836,-0.211605459689053,-0.078132174363068,89.1118047584545,0.0,0.099883902268929,0.074410633228487,0.3,11.895455889809922,2020.0017895989345,-0.109657540349433,-0.249955539243086,89.21773884046601,0.0,0.035397959732717,0.044385301313089,0.906970765352812,0.833142473091064,0.522292359197997,0.085440732654124,0.0,3479.15624813983,0
8,0.1,2.508369711923106,2021.0745512162805,0.0,0.0,88.81659315025206,0.0,0.007890071826217,0.012603027767694,0.2,7.92265632972507,2027.9032887124977,-0.218662513327563,-0.060975597779389,89.11515368458208,0.0,0.100045984523501,0.074341850951865,0.3,11.895337422885866,2020.0017364960236,-0.11543202070529,-0.241302550352157,89.22314502374928,0.0,0.035832694873332,0.044358380149784,0.912470572526863,0.836359160487073,0.522156713214336,0.087695767308241,0.0,3479.52545151685,0
9,0.1,2.508353649772775,2021.073945127819,0.0,0.0,88.88071279538944,0.0,0.006784995522417,0.012644569611669,0.2,7.92264946247675,2027.9032910407448,-0.220526122554275,-0.056811788168862,89.15653994543047,0.0,0.099333013561123,0.074277517042719,0.3,11.895290863613358,2020.0017199899023,-0.117307938091837,-0.238752487944444,89.24792829994075,0.0,0.03556317196319,0.044358581248592,0.907736340182754,0.831917346625427,0.524548086744408,0.072596485639753,0.0,3479.75393788357,0
